Trip_Distance_km,Time_of_Day,Day_of_Week,Passenger_Count,Traffic_Conditions,Weather,Base_Fare,Per_Km_Rate,Per_Minute_Rate,Trip_Duration_Minutes,Trip_Price
19.35,Morning,Weekday,3.0,Low,Clear,3.56,0.8,0.32,53.82,36.2624
47.59,Afternoon,Weekday,1.0,High,Clear,,0.62,0.43,40.57,
36.87,Evening,Weekend,1.0,High,Clear,2.7,1.21,0.15,37.27,52.9032
30.33,Evening,Weekday,4.0,Low,,3.48,0.51,0.15,116.81,36.4698
,Evening,Weekday,3.0,High,Clear,2.93,0.63,0.32,22.64,15.618000000000002
8.64,Afternoon,Weekend,2.0,Medium,Clear,2.55,1.71,0.48,89.33,60.202799999999996
3.85,Afternoon,Weekday,4.0,High,Rain,3.51,1.66,,5.05,11.2645
43.44,Evening,Weekend,3.0,,Clear,2.97,1.87,0.23,,101.1216
30.45,Morning,Weekday,3.0,High,Clear,2.77,1.78,0.34,110.33,
35.7,Afternoon,Weekday,2.0,Low,Rain,3.39,1.52,0.47,,75.5657
,Morning,Weekday,4.0,,Clear,2.4,0.58,0.43,26.34,14.892
48.53,Night,Weekday,3.0,Low,Clear,4.78,,0.5,79.94,
41.79,Night,Weekend,3.0,High,Clear,4.6,1.77,0.11,86.95,88.13279999999999
11.4,Morning,Weekday,3.0,,Clear,4.12,,0.15,84.12,36.118
9.91,Evening,Weekday,2.0,High,Clear,2.32,1.26,0.34,41.72,28.991400000000002
9.99,Night,Weekday,4.0,High,Clear,4.33,0.85,0.43,34.0,27.441499999999998
15.91,Morning,Weekday,4.0,Low,Clear,4.42,1.77,0.21,114.93,56.716
26.71,Afternoon,Weekend,4.0,Low,Rain,4.3,1.59,0.2,111.18,69.0049
22.17,Night,,4.0,Low,Clear,2.34,1.97,0.41,57.59,69.6268
15.27,Morning,,,Low,Clear,3.93,0.73,0.12,,27.354300000000002
30.98,Afternoon,Weekend,1.0,Low,Rain,4.5,0.84,0.25,57.02,44.7782
7.84,Morning,Weekday,4.0,Medium,,3.73,0.82,0.3,53.8,26.298799999999996
105.94355003672595,Night,Weekend,2.0,Low,Rain,3.94,1.69,0.32,23.03,201.86950918612797
18.95,Night,Weekday,1.0,Low,Clear,3.38,0.78,0.39,54.04,39.2366
23.35,Night,,3.0,Low,Rain,3.59,0.6,0.24,66.8,33.632000000000005
39.47,Afternoon,Weekday,1.0,Low,Clear,,,0.35,7.59,83.69649999999999
10.78,Evening,,3.0,High,Rain,3.92,0.54,0.33,56.07,28.2443
138.09832791310237,Evening,Weekend,4.0,Medium,Rain,2.24,1.75,0.32,94.86,280.87730155406564
30.03,,Weekday,1.0,High,Clear,3.31,1.05,0.36,83.21,64.7971
3.28,Evening,Weekday,2.0,Medium,Clear,2.88,1.76,0.2,78.04,24.260800000000003
30.77,Morning,Weekday,1.0,Low,Clear,3.64,1.33,0.13,109.6,58.8121
9.36,Afternoon,Weekday,1.0,Medium,Clear,2.4,1.85,0.15,7.07,20.7765
4.19,Morning,Weekday,1.0,Low,Clear,4.07,1.89,0.19,69.06,
47.5,Morning,Weekend,,Low,Clear,4.39,0.51,0.3,95.55,57.28
48.32,Morning,Weekday,2.0,Low,Clear,2.49,0.61,0.44,67.25,61.5552
40.61,Afternoon,Weekday,1.0,Low,Clear,2.31,0.88,0.38,42.25,54.101800000000004
15.93,Afternoon,Weekday,2.0,Low,,2.44,1.5,0.42,20.67,35.016400000000004
5.79,Evening,Weekday,4.0,Low,Clear,4.63,1.83,0.24,107.07,40.9225
34.53,Morning,Weekday,3.0,Medium,Clear,3.58,,0.26,59.14,60.0471
22.57,Afternoon,Weekday,1.0,Low,Clear,3.4,1.41,,105.98,62.77850000000001
6.98,Afternoon,Weekend,2.0,Low,Clear,2.32,0.78,0.18,72.37,20.791
25.26,Evening,Weekday,2.0,High,Clear,3.95,1.71,0.12,82.53,57.0482
2.69,Afternoon,Weekday,4.0,Low,Clear,4.6,1.95,0.34,97.49,42.9921
45.56,Afternoon,Weekday,,Low,Clear,,0.9,0.5,80.8,85.88400000000001
13.68,Evening,Weekend,3.0,High,Clear,3.88,,0.17,50.78,29.4758
33.46,Afternoon,Weekend,2.0,Low,Rain,2.23,0.63,0.12,64.07,30.9982
16.27,Morning,Weekday,1.0,Low,Clear,2.34,,0.41,97.35,64.05529999999999
26.48,Morning,Weekend,3.0,Medium,Clear,2.15,1.25,0.2,47.97,44.844
27.79,Evening,Weekday,2.0,Low,Clear,2.77,0.72,0.43,49.63,44.119699999999995
10.06,Morning,Weekday,2.0,Medium,Rain,2.41,1.16,0.38,16.0,20.159599999999998
48.51,Evening,Weekday,3.0,High,Rain,,1.0,0.48,110.18,104.1764
38.98,Afternoon,Weekday,3.0,Low,Clear,3.16,1.28,0.26,15.47,57.0766
47.04,Night,Weekday,4.0,Medium,,4.83,1.38,0.36,79.54,98.3796
44.85,Evening,Weekend,1.0,Medium,Rain,3.83,0.51,0.29,52.52,41.9343
30.3,Night,Weekend,1.0,Low,Clear,4.5,1.64,0.35,51.65,72.2695
46.17,Afternoon,Weekday,4.0,Medium,Clear,4.13,1.57,0.28,83.15,99.8989
5.34,,Weekday,2.0,Low,Clear,2.34,,0.18,12.72,10.2366
10.6,Afternoon,Weekday,3.0,Medium,Clear,4.21,,0.3,73.28,32.342
3.22,Afternoon,Weekday,3.0,Low,Rain,2.83,1.63,0.31,93.78,37.1504
16.94,Afternoon,Weekday,3.0,Medium,Snow,3.92,1.93,0.42,100.24,78.715
20.05,Evening,,2.0,Low,,3.02,0.86,0.39,24.61,29.8609
14.3,Night,Weekday,3.0,High,Clear,4.99,0.99,0.37,108.2,59.181
41.61,Evening,Weekend,3.0,Low,Rain,2.79,0.78,0.15,,47.314800000000005
18.48,Afternoon,Weekday,4.0,Medium,Clear,2.84,1.37,0.39,106.41,69.6575
146.0670471598387,Afternoon,Weekday,2.0,Medium,Clear,4.79,0.73,0.3,60.81,320.958663578238
27.59,Evening,Weekend,1.0,Medium,Rain,2.07,1.03,0.46,67.33,61.459500000000006
7.91,Morning,Weekday,4.0,Medium,Clear,4.09,1.55,0.47,110.69,68.3748
40.31,Morning,Weekday,4.0,Medium,Clear,4.18,1.34,0.12,108.49,71.2142
4.65,Afternoon,Weekday,1.0,Medium,,4.51,1.08,0.43,56.54,33.8442
49.36,Morning,,4.0,High,Rain,4.92,1.13,0.12,36.56,65.084
38.84,Morning,Weekend,2.0,Low,Clear,4.93,1.34,0.25,50.21,69.52810000000001
10.74,Morning,,3.0,Medium,Clear,2.2,0.51,0.32,49.59,23.546200000000002
1.27,Morning,Weekday,2.0,High,Clear,4.47,0.62,0.16,37.99,11.335799999999999
40.96,Morning,Weekend,1.0,High,,3.94,1.82,0.4,35.89,92.8432
35.64,Night,Weekend,1.0,High,Rain,3.94,0.62,0.1,104.02,36.4388
36.72,,Weekend,,Low,Clear,2.39,1.56,0.17,13.03,61.8883
38.79,Afternoon,Weekday,2.0,Low,Clear,3.95,1.88,0.33,82.93,104.2421
4.63,Afternoon,Weekday,,Medium,Clear,4.95,0.91,0.39,24.87,18.8626
18.56,Morning,Weekend,1.0,Medium,Snow,4.74,,0.47,44.62,45.385000000000005
6.68,Night,Weekend,2.0,Medium,Clear,3.32,1.35,0.38,12.08,16.9284
43.29,Evening,Weekday,1.0,Medium,Rain,2.12,1.82,0.37,36.05,94.2463
31.54,Morning,Weekday,2.0,High,Clear,3.09,1.91,0.26,93.37,87.6076
17.21,Afternoon,Weekday,2.0,Low,Rain,4.48,1.61,0.1,106.78,42.8661
4.11,Evening,Weekend,2.0,High,Rain,4.1,0.63,0.15,30.48,11.261299999999999
,Night,Weekday,1.0,Medium,Clear,3.38,1.5,0.31,58.31,45.8161
16.93,Afternoon,Weekday,4.0,Low,Snow,2.17,1.12,0.37,59.09,42.9949
36.75,Afternoon,Weekday,2.0,Medium,Clear,3.28,1.21,0.27,105.46,76.2217
,,Weekday,1.0,Medium,Clear,3.41,0.57,0.39,92.72,57.9476
44.47,Night,Weekend,1.0,Low,Clear,4.79,0.79,0.31,64.0,59.761300000000006
24.14,Morning,Weekday,2.0,Low,,3.92,1.69,,82.14,55.394800000000004
6.86,Night,Weekend,2.0,High,Clear,2.93,1.18,0.18,102.45,29.465799999999998
35.95,Afternoon,Weekend,4.0,Low,Clear,3.58,0.95,0.44,6.1,40.4165
38.28,Afternoon,Weekday,1.0,Medium,Clear,,1.08,0.39,51.33,63.56110000000001
28.5,Afternoon,Weekday,1.0,Medium,Clear,4.92,1.78,0.46,109.33,105.9418
38.78,Morning,Weekday,3.0,Medium,Clear,3.08,1.62,0.15,90.14,
,Morning,Weekend,1.0,Medium,Clear,3.43,0.91,0.5,67.43,60.077
26.61,Morning,Weekday,4.0,Low,Rain,3.07,0.68,0.18,65.91,33.0286
21.95,Morning,Weekday,3.0,Medium,Clear,4.05,0.88,0.1,44.99,27.865000000000002
2.25,Evening,Weekend,3.0,Low,Clear,3.99,1.88,0.5,,40.65
6.29,Afternoon,Weekday,3.0,,Clear,4.15,1.37,0.21,80.37,29.645000000000003
2.54,Morning,Weekend,,Low,Clear,2.8,1.3,0.37,53.11,25.7527
32.18,Night,Weekday,2.0,Medium,Rain,2.95,1.39,0.17,87.13,62.4923
16.4,Evening,Weekday,1.0,,Rain,2.38,1.05,0.33,104.04,53.9332
25.92,Night,Weekday,3.0,Low,Clear,3.97,1.71,0.46,22.79,58.7766
45.47,Night,Weekend,4.0,Low,Rain,2.12,1.28,0.23,56.93,73.4155
13.22,Morning,Weekday,2.0,Low,Rain,3.79,0.68,0.37,51.92,31.990000000000002
21.11,Afternoon,Weekend,4.0,High,Rain,4.61,0.69,0.18,84.06,34.3067
38.02,Evening,,4.0,,Clear,,1.31,0.35,33.73,66.2817
112.83095829028261,Afternoon,Weekday,2.0,High,Snow,3.35,1.9,0.23,78.63,233.00828520738892
4.77,Morning,Weekend,2.0,High,Clear,,0.96,0.18,105.91,
102.74755620694734,Evening,Weekday,2.0,Medium,Clear,2.23,1.8,0.23,53.09,274.53508679715014
,Morning,Weekday,2.0,Low,Clear,4.01,1.65,0.17,109.77,37.355900000000005
46.56,Morning,Weekday,3.0,Low,Clear,4.46,0.87,0.46,119.21,99.8038
40.6,Afternoon,Weekend,3.0,Medium,Clear,2.73,0.55,0.26,17.2,29.532000000000004
32.04,Afternoon,Weekday,3.0,Low,Clear,3.26,0.65,0.2,31.8,30.445999999999998
43.7,,Weekday,3.0,Low,Clear,4.52,1.59,0.28,114.29,106.0042
40.38,Morning,Weekday,1.0,Medium,Rain,,0.8,0.23,115.21,63.432300000000005
10.14,Evening,Weekday,3.0,High,Rain,2.73,1.06,0.4,16.24,19.974400000000003
44.74,,Weekday,2.0,Medium,Clear,3.65,1.25,0.49,6.72,62.8678
27.43,Morning,Weekend,4.0,Low,Rain,2.58,1.59,0.28,23.53,52.7821
40.56,Evening,Weekend,3.0,Medium,Rain,2.31,0.67,0.44,119.54,82.0828
44.91,Night,Weekday,1.0,Low,Rain,4.73,1.11,0.33,25.7,63.0611
16.58,Evening,,2.0,Low,Clear,4.46,1.23,0.16,62.79,
6.39,Evening,Weekday,4.0,High,Clear,4.28,1.31,0.38,102.57,51.6275
12.17,Afternoon,Weekend,4.0,Low,Rain,2.15,1.73,0.31,7.35,25.482599999999998
21.93,Afternoon,,3.0,Low,,4.53,0.76,,74.52,48.024
41.08,Morning,,4.0,Low,,3.31,1.71,0.46,36.86,90.5124
43.18,Afternoon,Weekday,3.0,High,Clear,3.03,1.54,,104.17,98.69480000000001
1.34,,Weekend,3.0,Medium,Clear,3.64,1.33,0.46,37.6,22.718200000000003
26.03,Morning,Weekday,2.0,Medium,Clear,2.27,1.55,0.4,83.98,76.20850000000002
21.45,Evening,Weekday,2.0,Medium,Clear,4.27,1.12,0.3,82.54,53.056
11.88,Afternoon,Weekday,1.0,,,3.75,0.71,0.34,30.47,22.544600000000003
6.87,Morning,Weekday,2.0,Medium,Rain,2.56,1.5,0.23,9.0,14.935
17.54,Morning,Weekday,2.0,Low,Rain,2.56,1.29,0.49,52.06,50.696
,Afternoon,Weekend,3.0,Low,Clear,2.55,1.46,0.37,38.26,85.6182
16.84,Morning,Weekend,2.0,Medium,Snow,2.17,1.01,0.12,98.03,30.942000000000004
26.42,Evening,Weekday,3.0,High,Clear,3.76,1.86,0.23,97.04,75.22040000000001
,,,3.0,Low,Clear,4.52,1.38,0.35,57.56,73.587
18.82,Afternoon,Weekday,2.0,Low,Rain,2.05,0.63,0.12,74.75,22.8766
48.62,Afternoon,Weekend,1.0,Low,Rain,2.15,1.17,0.11,74.49,67.2293
48.16,,Weekend,1.0,,Rain,3.72,1.63,0.28,100.12,110.25439999999999
109.61608204688008,Afternoon,Weekday,4.0,High,Clear,4.46,1.69,0.23,53.88,327.21766546350466
,Afternoon,Weekend,4.0,Medium,Rain,2.98,1.24,0.28,36.68,44.7092
15.74,Afternoon,Weekday,2.0,,Clear,3.05,1.84,0.21,35.48,39.4624
14.96,Morning,Weekday,1.0,Medium,Rain,3.79,0.9,0.17,66.66,28.5862
2.81,Evening,Weekend,3.0,Low,Rain,2.82,1.12,0.38,56.65,27.4942
30.87,Evening,Weekday,4.0,Medium,Clear,2.08,1.85,0.31,55.61,76.4286
25.63,Afternoon,Weekday,3.0,Medium,Clear,4.21,,0.18,15.48,54.1556
3.52,Evening,Weekday,4.0,Medium,Rain,3.88,1.53,0.23,87.64,29.4228
14.65,Evening,Weekend,2.0,High,Clear,3.74,1.79,,29.58,40.020700000000005
45.51,Evening,Weekday,1.0,Medium,Clear,4.23,0.63,0.13,27.65,36.4958
12.74,Evening,Weekday,4.0,Low,Rain,4.03,1.8,0.16,52.47,35.357200000000006
8.1,Afternoon,Weekend,1.0,High,Clear,2.62,0.98,0.13,31.19,14.6127
24.98,Afternoon,Weekend,3.0,Low,Rain,3.06,0.77,0.42,72.14,52.5934
49.3,Afternoon,Weekday,2.0,Low,Clear,2.38,0.86,0.4,47.72,63.866
12.86,Evening,Weekday,1.0,Low,Clear,2.39,1.13,0.4,56.62,39.5698
33.93,Morning,Weekday,2.0,Low,Rain,,0.88,0.39,66.77,59.92869999999999
38.32,Evening,Weekday,1.0,Medium,Clear,4.58,0.98,0.37,28.41,52.6453
12.64,Evening,Weekday,3.0,Medium,Clear,,0.7,0.29,22.91,20.381899999999998
36.68,,Weekend,3.0,High,Rain,3.89,0.94,0.36,106.25,76.6192
19.02,Evening,Weekday,2.0,Medium,Clear,2.55,1.36,0.12,54.88,35.0028
31.98,Morning,,3.0,Medium,Clear,2.32,1.16,0.35,52.39,57.753299999999996
32.04,,Weekday,4.0,Low,Clear,4.44,1.02,0.41,9.1,40.8518
27.25,Evening,Weekend,1.0,Low,Rain,3.74,1.62,0.3,,66.566
5.42,Morning,Weekday,3.0,Medium,Rain,3.85,1.84,0.24,68.73,30.317999999999998
41.93,Evening,Weekend,4.0,Medium,Rain,4.34,1.64,0.21,69.27,87.6519
,Evening,Weekday,2.0,High,Clear,4.11,1.0,0.36,86.31,51.9016
10.14,Afternoon,Weekday,4.0,Low,Rain,4.5,1.62,0.38,25.41,
3.0,Morning,Weekday,2.0,Low,Clear,2.17,0.73,0.45,34.01,19.664499999999997
29.95,Morning,Weekday,2.0,Medium,Clear,4.24,0.7,0.24,98.23,48.780199999999994
34.2,,Weekday,1.0,Low,Clear,4.55,1.02,0.41,113.92,86.1412
1.81,Night,Weekday,1.0,Low,Rain,2.86,1.71,0.32,20.63,12.5567
26.09,,Weekday,4.0,Medium,Rain,3.92,0.87,0.45,62.23,54.62179999999999
12.1,Morning,Weekend,,Low,Clear,,0.59,0.31,,19.2643
32.61,Afternoon,,1.0,Medium,Clear,,0.7,0.31,11.91,31.3891
9.54,Afternoon,Weekend,1.0,,Rain,2.1,1.79,0.33,42.43,33.1785
34.86,Evening,Weekday,4.0,Low,Clear,3.74,1.45,0.4,21.52,62.894999999999996
19.95,Morning,Weekday,3.0,Low,,2.5,0.88,0.49,,
46.9,Evening,Weekday,1.0,High,Clear,4.14,1.33,0.13,66.38,
7.74,Afternoon,Weekday,1.0,Low,Clear,,1.29,0.12,21.54,15.0994
17.71,Night,Weekday,4.0,Medium,Clear,2.71,1.48,0.48,6.06,31.829600000000003
6.56,Afternoon,Weekday,3.0,Low,Clear,3.48,0.85,0.31,97.94,39.4174
46.31,Afternoon,Weekday,1.0,Medium,Rain,4.74,1.8,0.35,,96.939
43.99,Night,Weekday,2.0,Low,Clear,2.64,0.96,0.29,74.71,66.5363
13.64,Morning,Weekday,4.0,Medium,Rain,2.43,1.54,0.14,43.75,29.5606
33.34,Night,Weekend,1.0,Medium,Clear,4.28,0.52,0.41,72.33,51.2721
41.04,Afternoon,Weekend,1.0,High,Clear,3.5,1.06,0.4,41.3,63.522400000000005
28.2,Morning,Weekend,2.0,Low,Clear,4.74,1.03,0.22,15.0,37.086
26.95,Afternoon,Weekend,2.0,Low,Clear,2.44,1.32,0.22,,44.754799999999996
12.85,Evening,Weekday,4.0,Low,Snow,3.94,0.61,,26.63,23.4957
5.56,Morning,Weekday,4.0,High,Clear,,1.69,0.13,54.22,19.145
,Afternoon,Weekend,2.0,Medium,Clear,2.47,0.83,0.45,80.7,76.1018
45.12,Afternoon,Weekday,4.0,Medium,Clear,,1.52,0.2,35.34,79.70039999999999
32.02,Afternoon,Weekday,2.0,,Clear,3.78,1.7,0.34,6.39,60.38660000000001
17.61,Morning,Weekday,1.0,Low,Clear,4.26,1.34,0.47,64.68,58.257000000000005
18.11,Evening,,2.0,Low,Rain,2.93,1.61,0.37,74.66,59.711299999999994
,Night,Weekday,2.0,High,Clear,3.34,1.49,0.27,115.73,89.0764
,Night,Weekend,3.0,Medium,Clear,3.22,1.03,0.38,72.79,77.18900000000001
44.47,Evening,Weekday,2.0,High,Clear,4.95,1.71,0.24,59.18,95.1969
39.21,Morning,Weekday,2.0,Low,Snow,2.88,0.94,0.21,70.94,54.6348
32.46,Evening,Weekend,3.0,,Clear,2.88,1.36,0.5,111.71,102.8806
5.12,Morning,Weekday,4.0,Medium,Clear,,1.62,0.4,,51.45840000000001
8.92,Morning,Weekday,3.0,Low,Clear,3.69,1.07,0.36,42.14,28.4048
45.03,Afternoon,Weekday,1.0,High,Clear,2.76,0.95,0.24,32.28,53.2857
30.72,Afternoon,Weekend,3.0,,Clear,4.75,1.19,0.12,35.2,45.5308
1.45,Evening,Weekend,1.0,High,Clear,2.8,1.73,,63.01,12.2396
5.97,Afternoon,Weekday,4.0,Medium,Rain,4.69,1.89,0.32,90.57,44.95569999999999
33.51,Afternoon,Weekend,3.0,Low,Clear,2.31,1.32,0.4,62.87,
1.25,,Weekday,3.0,Low,Rain,3.97,1.49,0.31,12.8,9.8005
8.88,Night,Weekend,4.0,High,Clear,4.72,1.85,0.44,88.21,59.96039999999999
27.89,,Weekend,1.0,Low,Clear,2.51,0.65,0.11,97.69,31.3844
34.9,Afternoon,Weekend,3.0,Medium,Clear,4.9,0.85,0.25,38.29,44.137499999999996
32.95,Morning,Weekday,1.0,Medium,Clear,3.36,1.56,0.19,81.37,
11.99,Evening,Weekend,,Medium,Rain,4.84,1.74,0.28,54.06,40.839400000000005
35.9,,Weekend,2.0,High,Clear,4.03,1.79,0.13,107.25,
12.63,Morning,Weekday,3.0,Low,,2.9,1.12,0.48,102.2,66.10159999999999
16.94,Morning,Weekend,4.0,Low,Clear,2.56,0.63,0.19,65.42,25.662
37.58,Afternoon,Weekday,4.0,Low,Snow,2.91,1.16,0.47,84.52,86.22719999999998
32.83,Afternoon,Weekend,1.0,Medium,Clear,,0.85,0.27,106.59,58.9648
42.61,Morning,Weekday,3.0,Low,Rain,2.43,0.94,0.49,62.01,72.86829999999999
33.22,Night,Weekend,1.0,Low,Clear,2.31,1.66,0.32,41.02,70.5816
28.85,Morning,,1.0,High,Clear,3.27,0.61,0.47,91.67,63.9534
5.59,Afternoon,Weekday,2.0,High,Clear,4.39,,0.1,30.31,17.147599999999997
19.02,Night,Weekday,2.0,Low,,2.42,1.14,0.4,49.68,43.974799999999995
13.99,Afternoon,Weekday,4.0,,Clear,2.39,1.39,0.46,104.56,69.9337
130.80900130744172,Afternoon,Weekday,1.0,High,Clear,3.93,0.63,0.16,88.31,328.87176913785436
48.68,Afternoon,Weekday,4.0,Low,Rain,2.59,1.01,0.14,51.44,58.9584
20.26,Morning,Weekday,3.0,Low,Rain,2.29,0.63,0.27,29.7,23.0728
44.71,Night,Weekday,1.0,Low,Rain,2.5,1.94,0.47,45.94,
31.93,Afternoon,Weekday,1.0,Medium,Clear,4.77,1.71,0.32,37.67,71.4247
39.95,Evening,Weekend,3.0,Low,Clear,4.46,1.19,0.31,25.25,59.828
25.63,Morning,Weekday,3.0,High,Clear,3.06,0.84,0.16,,39.066
29.27,Morning,Weekend,4.0,Medium,Rain,3.97,1.9,0.1,33.99,62.982
25.13,Morning,Weekend,4.0,Medium,Rain,3.61,1.02,0.42,57.23,53.279199999999996
,Afternoon,Weekday,3.0,Low,Clear,4.03,0.74,0.14,49.37,18.7636
36.4,Afternoon,Weekday,4.0,Medium,Clear,4.05,1.34,,117.94,94.10499999999999
14.76,Evening,Weekend,3.0,Medium,Clear,3.89,1.92,0.47,49.98,55.71979999999999
2.19,Afternoon,Weekday,1.0,Medium,Clear,2.8,0.51,0.18,14.2,6.472899999999999
32.63,Night,Weekday,1.0,Medium,Clear,2.12,0.86,0.37,15.33,35.8539
9.68,Morning,Weekday,2.0,Medium,,3.37,1.91,0.13,72.94,31.341
47.08,Evening,Weekend,1.0,High,Rain,4.67,0.76,0.34,73.93,65.587
47.74,Evening,Weekday,3.0,High,Clear,3.71,0.67,0.17,53.16,44.733000000000004
45.83,Evening,Weekday,4.0,Medium,Clear,4.5,1.36,0.39,54.66,88.1462
19.14,Evening,Weekend,2.0,Low,Snow,4.97,1.79,0.22,11.2,41.6946
1.76,Evening,Weekend,,Low,Clear,2.49,1.22,0.29,64.4,23.313200000000002
46.49,Afternoon,Weekday,3.0,Low,Clear,4.08,1.99,0.34,63.05,118.0321
21.98,Morning,Weekday,1.0,Medium,Clear,4.02,1.52,0.17,22.2,41.203599999999994
48.37,Morning,Weekend,2.0,Medium,Clear,4.94,0.61,0.4,,41.2217
48.22,Night,Weekday,3.0,Medium,Clear,4.96,1.99,0.22,19.21,105.14399999999999
